State,State Code,Region
Alabama,AL,Gulf Coast
Alaska,AK,
Arizona,AZ,Rocky Mountain
Arkansas,AR,Midwest
California,CA,West Coast
Colorado,CO,Rocky Mountain
Connecticut,CT,New England
Delaware,DE,Central Atlantic
Florida,FL,Gulf Coast
Georgia,GA,Lower Atlantic
Hawaii,HI,
Idaho,ID,Rocky Mountain
Illinois,IL,Midwest
Indiana,IN,Midwest
Iowa,IA,Midwest
Kansas,KS,Midwest
Kentucky,KY,Midwest
Louisiana,LA,Gulf Coast
Maine,ME,New England
Maryland,MD,North Atlantic
Massachusetts,MA,New England
Michigan,MI,Midwest
Minnesota,MN,Midwest
Mississippi,MS,Gulf Coast
Missouri,MO,Midwest
Montana,MT,Rocky Mountain
Nebraska,NE,Midwest
Nevada,NV,Rocky Mountain
New Hampshire,NH,New England
New Jersey,NJ,North Atlantic
New Mexico,NM,Rocky Mountain
New York,NY,New England
North Carolina,NC,Lower Atlantic
North Dakota,ND,Midwest
Ohio,OH,Midwest
Oklahoma,OK,Midwest
Oregon,OR,West Coast
Pennsylvania,PA,North Atlantic
Rhode Island,RI,New England
South Carolina,SC,Lower Atlantic
South Dakota,SD,Midwest
Tennessee,TN,Midwest
Texas,TX,Gulf Coast
Utah,UT,Rocky Mountain
Vermont,VT,New England
Virginia,VA,Lower Atlantic
Washington,WA,West Coast
West Virginia,WV,Midwest
Wisconsin,WI,Midwest
Wyoming,WY,Rocky Mountain
